Station;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol;Kohlenmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³
Messzeit (Angaben in MESZ bzw. MEZ);pm10;no;no2;nox;o3;ben;tou;co

25.01.2021 09:00;28;81;54;178;7;1.2;2.0;0.4
25.01.2021 10:00;27;60;49;141;14;1.0;2.4;0.4
25.01.2021 11:00;32;72;54;164;14;1.3;2.4;0.4
25.01.2021 12:00;34;57;53;140;18;1.6;2.1;0.4
25.01.2021 13:00;33;62;54;149;21;1.2;1.9;0.5
25.01.2021 14:00;32;49;49;124;24;1.3;2.4;0.5
25.01.2021 15:00;33;66;57;158;20;1.5;2.7;0.5
25.01.2021 16:00;30;34;44;96;24;1.5;2.7;0.4
25.01.2021 17:00;26;27;40;81;26;1.5;2.3;0.4
25.01.2021 18:00;29;36;42;96;25;1.0;1.4;0.4
25.01.2021 19:00;28;18;34;61;31;1.2;1.9;0.4
25.01.2021 20:00;20;9;26;40;43;0.9;1.2;0.3
25.01.2021 21:00;21;8;25;37;40;0.7;0.8;0.3
25.01.2021 22:00;24;9;25;39;37;0.7;0.9;0.3
25.01.2021 23:00;25;8;24;37;36;0.7;0.8;0.3
26.01.2021 00:00;28;7;28;39;26;0.8;1.1;0.3
26.01.2021 01:00;31;6;26;35;22;0.7;0.7;0.3
26.01.2021 02:00;31;3;22;26;26;0.8;0.7;0.3
26.01.2021 03:00;31;2;19;23;30;0.7;0.7;0.3
26.01.2021 04:00;33;4;22;29;28;0.8;0.7;0.3
26.01.2021 05:00;32;6;24;33;25;0.6;0.7;0.3
26.01.2021 06:00;32;20;38;69;14;0.8;1.1;0.4
26.01.2021 07:00;31;37;48;105;7;1.0;1.5;0.4
26.01.2021 08:00;36;37;52;109;3;0.9;1.7;0.5
26.01.2021 09:00;41;55;54;137;4;2.0;2.0;0.5
26.01.2021 10:00;42;72;57;167;5;1.5;2.9;0.6
26.01.2021 11:00;37;76;57;173;10;1.7;2.9;0.5
26.01.2021 12:00;34;75;54;168;14;1.2;2.2;0.5
26.01.2021 13:00;35;78;57;176;14;1.4;2.7;0.5
26.01.2021 14:00;34;32;38;88;27;1.2;2.2;0.4
26.01.2021 15:00;32;22;33;66;34;0.8;1.2;0.4
26.01.2021 16:00;32;34;41;92;29;0.8;1.2;0.4
26.01.2021 17:00;29;88;69;204;12;1.2;2.4;0.5
